ITEM,AGENCIA,ALMACEN,GRUPO,CLASE,FAMILIA,PRODUCTO,VARIACION,MEDIDA,MODELO,MARCA,TIPO,CANTIDAD TOTAL,CANTIDAD,UNIDAD,TIPO,SERIE/LOTE,SERIE/LOTE ADICIONAL,COSTO S/,VALOR S/,FECHA INGRESO,DIAS ALMACEN
71,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,CILINDRO,CILINDRO SOLO  NTB520D-NTBG520D-NTA520E-10A- GWP5210 CRAFTOP,SOLO,,NTB520D-NTBG520D-NTA520E-10A- GWP5210,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,27.045,54.09,,
72,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,EMPAQUE DE CARTER,EMPAQUE DE CARTER   NTB430D-NTB520D- NTBG520D-NTMU430D4IN1-NTA520E10A CRAFTOP,,,NTB430D-NTB520D- NTBG520D-NTMU430D4IN1-NTA520E10A,CRAFTOP,PRODUCTO,5,5,U. MIN,,,,0.74,3.7,,
73,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,FILTRO,FILTRO DE COMBUSTIBLE  NTB430-520D CRAFTOP,DE COMBUSTIBLE,,NTB430-520D,CRAFTOP,PRODUCTO,9,9,U. MIN,,,,3.910512,35.194608,,
74,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,FILTRO DE AIRE,FILTRO DE AIRE   NT3760 CRAFTOP,,,NT3760,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,3.587391,7.174782,,
75,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,FILTRO DE AIRE,FILTRO DE AIRE   NT6260 CRAFTOP,,,NT6260,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,9.767809,19.535618,,
76,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,FILTRO DE AIRE,FILTRO DE AIRE DE ALGODON SOLO  NTB430D-NTB520D- NTBG520D-NTMU430D4IN1-NTA520E10A CRAFTOP,DE ALGODON SOLO,,NTB430D-NTB520D- NTBG520D-NTMU430D4IN1-NTA520E10A,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,9.508403,19.016806,,
77,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,FILTRO DE COMBUSTIBLE,FILTRO DE COMBUSTIBLE   NT3760-NT4560-NT5260-NT5860-NT6020-NT6260-NTB330D-NTB430D-NTB520D-NTBG520D-NTA520E10A-NTMU430DN4IN1 CRAFTOP,,,NT3760-NT4560-NT5260-NT5860-NT6020-NT6260-NTB330D-NTB430D-NTB520D-NTBG520D-NTA520E10A-NTMU430DN4IN1,CRAFTOP,PRODUCTO,10,10,U. MIN,,,,1.937668,19.37668,,
78,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,JALADOR DE ARRANQUE,JALADOR DE ARRANQUE   NT3760- NT4560-NT5260-NT5860-NT6020-NT6260 /NTB330D-NTB430D-NTB520D-NTBG520D-NTMU430D4IN1 CRAFTOP,,,NT3760- NT4560-NT5260-NT5860-NT6020-NT6260 /NTB330D-NTB430D-NTB520D-NTBG520D-NTMU430D4IN1,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,1.220604,2.441208,,
79,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,JUEGO  ANILLO DE PISTON,JUEGO  ANILLO DE PISTON   NTB330D CRAFTOP,,,NTB330D,CRAFTOP,PRODUCTO,5,5,U. MIN,,,,1,5,,
80,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,JUEGO  ANILLO DE PISTON,JUEGO  ANILLO DE PISTON   NTB430D CRAFTOP,,,NTB430D,CRAFTOP,PRODUCTO,13,13,U. MIN,,,,1,13,,
